brand_type,item_id,category_updated,brand_category
Local,241,Others,Large
Established,242,Pharmaceutical,Large
Local,243,Others,Large
Local,244,Others,Large
Local,245,Grocery,Large
Established,246,Grocery,Large
Local,247,Grocery,Large
Established,248,Grocery,Large
Established,249,Grocery,Large
Local,250,Grocery,Large
Local,251,Grocery,Large
Local,252,Grocery,Large
Established,253,Pharmaceutical,Large
Local,254,Grocery,Large
Established,255,Grocery,Large
Established,256,Grocery,Large
Local,257,Grocery,Large
Established,258,Grocery,Large
Local,259,Grocery,Large
Established,260,Grocery,Large
Local,261,Grocery,Large
Local,262,Grocery,Large
Local,263,Grocery,Large
Established,264,Grocery,Large
Established,265,Pharmaceutical,Large
Established,266,Grocery,Large
Local,267,Pharmaceutical,Large
Established,268,Grocery,Large
Established,269,Grocery,Large
Established,270,Grocery,Large
Established,271,Grocery,Large
Established,272,Others,Large
Established,273,Grocery,Large
Local,274,Grocery,Large
Local,275,Grocery,Large
Local,276,Grocery,Large
Local,277,Grocery,Large
Established,278,Grocery,Large
Local,279,Pharmaceutical,Large
Established,280,Grocery,Large
Local,281,Grocery,Large
Established,282,Others,Large
Established,283,Grocery,Large
Established,284,Others,Large
Established,285,Grocery,Large
Established,286,Pharmaceutical,Large
Established,287,Others,Large
Local,288,Pharmaceutical,Large
Established,289,Grocery,Large
Established,290,Pharmaceutical,Large
Established,291,Grocery,Medium
Established,292,Grocery,Large
Established,293,Grocery,Large
Local,294,Grocery,Large
Established,295,Grocery,Large
Local,296,Grocery,Large
Local,297,Pharmaceutical,Large
Local,298,Grocery,Large
Local,299,Pharmaceutical,Large
Established,300,Grocery,Large
Established,301,Grocery,Medium
Established,302,Others,Large
Established,303,Grocery,Large
Established,304,Grocery,Large
Established,305,Pharmaceutical,Medium
Local,306,Pharmaceutical,Large
Local,307,Grocery,Large
Established,308,Grocery,Large
Established,309,Grocery,Large
Local,310,Grocery,Large
Established,311,Pharmaceutical,Large
Local,312,Pharmaceutical,Large
Established,313,Pharmaceutical,Large
Local,314,Grocery,Large
Established,315,Grocery,Large
Local,316,Grocery,Large
Local,317,Grocery,Large
Local,318,Pharmaceutical,Large
Local,319,Pharmaceutical,Large
Local,320,Grocery,Large
Local,321,Grocery,Large
Established,322,Grocery,Large
Established,323,Others,Large
Established,324,Grocery,Large
Local,325,Grocery,Large
Established,326,Grocery,Large
Local,327,Grocery,Large
Established,328,Grocery,Large
Established,329,Grocery,Large
Local,330,Pharmaceutical,Large
Established,331,Grocery,Small
Local,332,Grocery,Large
Local,333,Grocery,Large
Local,334,Grocery,Large
Established,335,Pharmaceutical,Large
Established,336,Grocery,Large
Established,337,Others,Medium
Established,338,Others,Large
Local,339,Grocery,Large
Established,340,Grocery,Medium
Local,341,Grocery,Large
Established,342,Pharmaceutical,Large
Local,343,Grocery,Large
Established,344,Grocery,Large
Local,345,Grocery,Large
Local,346,Pharmaceutical,Large
Local,347,Pharmaceutical,Large
Local,348,Grocery,Large
Local,349,Pharmaceutical,Large
Established,350,Grocery,Large
Local,351,Grocery,Large
Established,352,Grocery,Large
Local,353,Grocery,Large
Established,354,Pharmaceutical,Medium
Established,355,Grocery,Large
Local,356,Grocery,Large
Local,357,Pharmaceutical,Large
Local,358,Grocery,Large
Established,359,Pharmaceutical,Large
Local,360,Grocery,Large
Established,361,Others,Medium
Established,362,Others,Medium
Local,363,Grocery,Large
Local,364,Grocery,Large
Established,365,Grocery,Large
Local,366,Grocery,Large
Local,367,Grocery,Large
Local,368,Grocery,Large
Established,369,Grocery,Large
Established,370,Grocery,Large
Local,371,Grocery,Large
Local,372,Grocery,Large
Local,373,Grocery,Large
Local,374,Grocery,Large
Local,375,Grocery,Large
Local,376,Pharmaceutical,Large
Established,377,Grocery,Large
Local,378,Grocery,Large
Local,379,Grocery,Large
Local,380,Pharmaceutical,Large
Local,381,Grocery,Large
Established,382,Grocery,Large
Local,383,Grocery,Large
Local,384,Grocery,Large
Established,385,Pharmaceutical,Small
Local,386,Grocery,Large
Local,387,Grocery,Large
Established,388,Grocery,Large
Local,389,Others,Large
Established,390,Grocery,Large
Local,391,Grocery,Large
Local,392,Pharmaceutical,Large
Established,393,Grocery,Large
Local,394,Grocery,Large
Established,395,Pharmaceutical,Small
Established,396,Grocery,Large
Local,397,Grocery,Large
Local,398,Pharmaceutical,Large
Local,399,Grocery,Large
Established,400,Pharmaceutical,Small
Local,401,Grocery,Large
Local,402,Grocery,Large
Local,403,Grocery,Large
Local,404,Grocery,Large
Established,405,Grocery,Large
Local,406,Grocery,Large
Established,407,Grocery,Large
Established,408,Pharmaceutical,Large
Local,409,Grocery,Large
Local,410,Grocery,Large
Local,411,Grocery,Large
Local,412,Grocery,Large
Local,413,Grocery,Large
Established,414,Grocery,Large
Local,415,Grocery,Large
Established,416,Pharmaceutical,Small
Local,417,Grocery,Large
Local,418,Grocery,Large
Established,419,Grocery,Large
Established,420,Grocery,Large
Established,421,Grocery,Large
Established,422,Grocery,Large
Local,423,Grocery,Large
Local,424,Grocery,Large
Local,425,Grocery,Large
Local,426,Grocery,Large
Local,427,Grocery,Large
Established,428,Others,Large
Local,429,Grocery,Large
Local,430,Grocery,Large
Established,431,Pharmaceutical,Small
Local,432,Grocery,Large
Local,433,Grocery,Large
Local,434,Pharmaceutical,Large
Local,435,Grocery,Large
Local,436,Grocery,Large
Local,437,Grocery,Large
Local,438,Grocery,Large
Established,439,Grocery,Large
Established,440,Grocery,Large
Local,441,Grocery,Large
Local,442,Grocery,Large
Local,443,Grocery,Large
Local,444,Grocery,Large
Local,445,Grocery,Large
Local,446,Grocery,Large
Local,447,Grocery,Large
Local,448,Grocery,Large
Local,449,Grocery,Large
Local,450,Grocery,Large
Local,451,Grocery,Large
Local,452,Grocery,Large
Local,453,Grocery,Large
Established,454,Grocery,Large
Local,455,Grocery,Large
Local,456,Grocery,Large
Local,457,Grocery,Large
Local,458,Grocery,Large
Local,459,Grocery,Large
Local,460,Grocery,Large
Local,461,Grocery,Large
Local,462,Grocery,Large
Local,463,Grocery,Large
Local,464,Grocery,Large
Local,465,Grocery,Large
Local,466,Grocery,Large
Local,467,Grocery,Large
Local,468,Grocery,Large
Local,469,Grocery,Large
Local,470,Grocery,Large
Local,471,Grocery,Large
Local,472,Grocery,Large
Local,473,Grocery,Large
Established,474,Grocery,Large
Local,475,Grocery,Large
Local,476,Grocery,Large
Local,477,Grocery,Large
Local,478,Grocery,Large
Established,479,Grocery,Large
Local,480,Grocery,Large
Local,481,Grocery,Large
Established,482,Pharmaceutical,Small
Established,483,Pharmaceutical,Large
Local,484,Grocery,Large
Local,485,Pharmaceutical,Large
Local,486,Grocery,Large
Local,487,Grocery,Large
Local,488,Grocery,Large
Local,489,Grocery,Large
Established,490,Pharmaceutical,Large
Local,491,Grocery,Large
Local,492,Pharmaceutical,Large
Local,493,Grocery,Large
Established,494,Grocery,Large
Local,495,Grocery,Large
Local,496,Grocery,Large
Established,497,Others,Medium
Local,498,Grocery,Large
Local,499,Pharmaceutical,Large
Local,500,Grocery,Large
Local,501,Grocery,Large
Local,502,Grocery,Large
Local,503,Grocery,Large
Local,504,Grocery,Large
Local,505,Others,Large
Local,506,Grocery,Large
Local,507,Grocery,Large
Local,508,Grocery,Large
Local,509,Grocery,Large
Local,510,Grocery,Large
Established,511,Grocery,Large
Established,512,Grocery,Large
Local,513,Grocery,Large
Local,514,Grocery,Large
Local,515,Grocery,Large
Local,516,Grocery,Large
Local,517,Grocery,Large
Local,518,Grocery,Large
Local,519,Grocery,Large
Local,520,Grocery,Large
Local,521,Grocery,Large
Local,522,Grocery,Large
Local,523,Grocery,Large
Local,524,Grocery,Large
Local,525,Grocery,Large
Established,526,Grocery,Large
Established,527,Others,Medium
Established,528,Grocery,Large
Local,529,Others,Large
Established,530,Grocery,Medium
Local,531,Others,Large
Local,532,Grocery,Large
Local,533,Grocery,Large
Local,534,Pharmaceutical,Large
Established,535,Grocery,Large
Local,536,Grocery,Large
Established,537,Grocery,Large
Local,538,Grocery,Large
Local,539,Grocery,Large
Local,540,Grocery,Large
Local,541,Grocery,Large
Local,542,Grocery,Large
Local,543,Grocery,Large
Local,544,Grocery,Large
Local,545,Grocery,Large
Local,546,Grocery,Large
Local,547,Grocery,Large
Established,548,Grocery,Large
Local,549,Grocery,Large
Local,550,Grocery,Large
Local,551,Grocery,Large
Local,552,Grocery,Large
Local,553,Grocery,Large
Established,554,Grocery,Large
Local,555,Grocery,Large
Established,556,Grocery,Large
Local,557,Grocery,Large
Established,558,Grocery,Large
Established,559,Grocery,Large
Local,560,Grocery,Large
Local,561,Grocery,Large
Local,562,Grocery,Large
Local,563,Grocery,Large
Established,564,Grocery,Large
Local,565,Grocery,Large
Local,566,Grocery,Large
Local,567,Grocery,Large
Local,568,Grocery,Large
Local,569,Grocery,Large
Local,570,Grocery,Large
Established,571,Grocery,Large
Local,572,Grocery,Large
Local,573,Grocery,Large
Local,574,Grocery,Large
Established,575,Grocery,Medium
Local,576,Grocery,Large
Established,577,Grocery,Large
Local,578,Pharmaceutical,Large
Established,579,Grocery,Large
Established,580,Grocery,Medium
Local,581,Grocery,Large
Established,582,Grocery,Medium
Local,583,Grocery,Large
Local,584,Grocery,Large
Established,585,Grocery,Large
Established,586,Grocery,Medium
Established,587,Grocery,Large
Local,588,Grocery,Large
Local,589,Pharmaceutical,Large
Local,590,Grocery,Large
Local,591,Grocery,Large
Local,592,Grocery,Large
Local,593,Grocery,Large
Established,594,Grocery,Large
Local,595,Grocery,Large
Local,596,Grocery,Large
Established,597,Pharmaceutical,Large
Established,598,Grocery,Large
Local,599,Grocery,Large
Local,600,Grocery,Large
Local,601,Grocery,Large
Local,602,Grocery,Large
Local,603,Grocery,Large
Local,604,Grocery,Large
Established,605,Grocery,Medium
Established,606,Grocery,Medium
Local,607,Grocery,Large
Established,608,Grocery,Large
Local,609,Grocery,Large
Local,610,Grocery,Large
Local,611,Grocery,Large
Local,612,Grocery,Large
Local,613,Grocery,Large
Local,614,Grocery,Large
Local,615,Grocery,Large
Local,616,Grocery,Large
Local,617,Grocery,Large
Local,618,Grocery,Large
Local,619,Grocery,Large
Local,620,Grocery,Large
Local,621,Grocery,Large
Established,622,Grocery,Large
Local,623,Grocery,Large
Local,624,Grocery,Large
Local,625,Grocery,Large
Local,626,Grocery,Large
Established,627,Grocery,Large
Local,628,Grocery,Large
Established,629,Others,Large
Local,630,Pharmaceutical,Large
Local,631,Grocery,Large
Established,632,Others,Large
Local,633,Grocery,Large
Local,634,Grocery,Large
Established,635,Others,Small
Established,636,Others,Small
Local,637,Grocery,Large
Established,638,Others,Large
Established,639,Grocery,Large
Established,640,Grocery,Medium
Local,641,Grocery,Large
Local,642,Grocery,Large
Local,643,Grocery,Large
Local,644,Grocery,Large
Local,645,Others,Large
Established,646,Grocery,Large
Local,647,Grocery,Large
Established,648,Grocery,Medium
Established,649,Others,Large
Local,650,Grocery,Large
Local,651,Grocery,Large
Local,652,Grocery,Large
Established,653,Grocery,Large
Established,654,Grocery,Medium
Local,655,Grocery,Large
Local,656,Grocery,Large
Established,657,Others,Medium
Local,658,Grocery,Large
Established,659,Grocery,Large
Local,660,Grocery,Large
Established,661,Grocery,Medium
Local,662,Grocery,Large
Local,663,Grocery,Large
Established,664,Others,Large
Established,665,Grocery,Medium
Local,666,Grocery,Large
Local,667,Grocery,Large
Local,668,Pharmaceutical,Large
Local,669,Grocery,Large
Local,670,Grocery,Large
Local,671,Others,Large
Established,672,Grocery,Large
Local,673,Pharmaceutical,Large
Established,674,Others,Large
Local,675,Grocery,Large
Local,676,Others,Large
Local,677,Grocery,Large
Local,678,Grocery,Large
Established,679,Grocery,Large
Local,680,Grocery,Large
Local,681,Pharmaceutical,Large
Local,682,Grocery,Large
Established,683,Grocery,Large
Established,684,Grocery,Large
Established,685,Grocery,Large
Local,686,Grocery,Large
Local,687,Grocery,Large
Local,688,Others,Large
Local,689,Grocery,Large
Established,690,Grocery,Medium
Local,691,Grocery,Large
Established,692,Grocery,Large
Established,693,Grocery,Large
Local,694,Grocery,Large
Established,695,Others,Large
Local,696,Grocery,Large
Local,697,Grocery,Large
Established,698,Grocery,Medium
Local,699,Grocery,Large
Local,700,Grocery,Large
Established,701,Grocery,Large
Local,702,Grocery,Large
Local,703,Grocery,Large
Local,704,Grocery,Large
Local,705,Grocery,Large
Established,706,Grocery,Large
Local,707,Grocery,Large
Local,708,Grocery,Large
Local,709,Grocery,Large
Local,710,Grocery,Large
Established,711,Grocery,Large
Established,712,Grocery,Large
Established,713,Grocery,Large
Established,714,Others,Large
Established,715,Grocery,Large
Local,716,Grocery,Large
Established,717,Others,Large
Established,718,Others,Large
Established,719,Grocery,Large
Established,720,Grocery,Large
Established,721,Grocery,Large
Local,722,Grocery,Large
Established,723,Grocery,Large
Established,724,Others,Medium
Established,725,Grocery,Large
Established,726,Pharmaceutical,Medium
Established,727,Pharmaceutical,Large
Established,728,Grocery,Large
Established,729,Grocery,Large
Established,730,Pharmaceutical,Large
Local,731,Grocery,Large
Established,732,Others,Medium
Local,733,Grocery,Large
Local,734,Others,Large
Local,735,Grocery,Large
Established,736,Pharmaceutical,Large
Local,737,Grocery,Large
Established,738,Grocery,Large
Established,739,Pharmaceutical,Small
Established,740,Pharmaceutical,Small
Established,741,Grocery,Large
Local,742,Others,Large
Local,743,Others,Large
Established,744,Grocery,Large
Established,745,Others,Large
Established,746,Others,Large
Local,747,Grocery,Large
Local,748,Others,Large
Established,749,Grocery,Large
Established,750,Others,Large
Established,751,Others,Large
Established,752,Others,Medium
Established,753,Others,Medium
Established,754,Grocery,Large
Established,755,Grocery,Large
Local,756,Pharmaceutical,Large
Local,757,Grocery,Large
Local,758,Grocery,Large
Established,759,Grocery,Large
Established,760,Grocery,Small
Established,761,Grocery,Large
Established,762,Grocery,Large
Established,763,Others,Large
Established,764,Grocery,Large
Established,765,Grocery,Large
Local,766,Grocery,Large
Local,767,Grocery,Large
Local,768,Grocery,Large
Local,769,Grocery,Large
Established,770,Others,Large
Local,771,Grocery,Large
Established,772,Pharmaceutical,Large
Local,773,Grocery,Large
Established,774,Others,Small
Established,775,Pharmaceutical,Large
Established,776,Grocery,Large
Established,777,Pharmaceutical,Large
Established,778,Grocery,Large
Established,779,Grocery,Large
Established,780,Others,Large
Established,781,Grocery,Large
Established,782,Grocery,Large
Established,783,Pharmaceutical,Large
Established,784,Grocery,Large
Established,785,Pharmaceutical,Large
Established,786,Grocery,Medium
Established,787,Grocery,Large
Local,788,Grocery,Large
Established,789,Grocery,Medium
Established,790,Grocery,Large
Established,791,Grocery,Large
Established,792,Grocery,Large
Established,793,Grocery,Large
Established,794,Grocery,Large
Local,795,Grocery,Large
Established,796,Grocery,Large
Established,797,Grocery,Large
Established,798,Grocery,Large
Established,799,Others,Large
Established,800,Grocery,Large
Established,801,Grocery,Large
Local,802,Others,Large
Established,803,Others,Large
Established,804,Grocery,Large
Established,805,Pharmaceutical,Large
Established,806,Pharmaceutical,Large
Established,807,Grocery,Large
Established,808,Others,Large
Established,809,Others,Large
Established,810,Grocery,Large
Local,811,Others,Large
Established,812,Grocery,Large
Local,813,Grocery,Large
Established,814,Grocery,Large
Local,815,Grocery,Large
Established,816,Grocery,Large
Established,817,Others,Large
Established,818,Grocery,Small
Local,819,Grocery,Large
Local,820,Others,Large
Local,821,Grocery,Large
Established,822,Grocery,Large
Established,823,Others,Large
Local,824,Grocery,Large
Established,825,Grocery,Large
Local,826,Grocery,Large
Established,827,Grocery,Large
Local,828,Others,Large
Established,829,Others,Large
Established,830,Grocery,Large
Local,831,Grocery,Large
Established,832,Grocery,Large
Established,833,Pharmaceutical,Large
Established,834,Grocery,Large
Established,835,Grocery,Large
Local,836,Grocery,Large
Established,837,Grocery,Large
Established,838,Grocery,Large
Local,839,Grocery,Large
Local,840,Grocery,Large
Established,841,Grocery,Large
Established,842,Grocery,Large
Established,843,Grocery,Large
Established,844,Grocery,Large
Established,845,Pharmaceutical,Large
Established,846,Others,Large
Local,847,Grocery,Large
Established,848,Grocery,Large
Established,849,Others,Large
Established,850,Grocery,Large
Established,851,Grocery,Large
Established,852,Grocery,Large
Local,853,Grocery,Large
Established,854,Grocery,Large
Established,855,Pharmaceutical,Large
Local,856,Grocery,Large
Established,857,Grocery,Large
Local,858,Grocery,Large
Local,859,Grocery,Large
Established,860,Grocery,Large
Established,861,Grocery,Large
Local,862,Grocery,Large
Local,863,Others,Large
Established,864,Grocery,Large
Local,865,Grocery,Large
Local,866,Grocery,Large
Established,867,Grocery,Large
Established,868,Grocery,Large
Local,869,Grocery,Large
Established,870,Grocery,Large
Established,871,Grocery,Large
Established,872,Grocery,Large
Established,873,Grocery,Large
Local,874,Grocery,Large
Established,875,Grocery,Large
Local,876,Grocery,Large
Established,877,Grocery,Large
Established,878,Grocery,Large
Established,879,Grocery,Large
Local,880,Grocery,Large
Established,881,Grocery,Large
Established,882,Grocery,Large
Established,883,Grocery,Large
Established,884,Grocery,Large
Established,885,Pharmaceutical,Large
Established,886,Grocery,Large
Established,887,Pharmaceutical,Large
Established,888,Grocery,Large
Established,889,Grocery,Large
Established,890,Grocery,Large
Established,891,Grocery,Large
Established,892,Grocery,Large
Established,893,Grocery,Large
Local,894,Grocery,Large
Established,895,Grocery,Large
Local,896,Grocery,Large
Established,897,Grocery,Large
Established,898,Grocery,Large
Local,899,Others,Large
Established,900,Others,Large
Established,901,Grocery,Large
Established,902,Pharmaceutical,Large
Established,903,Grocery,Large
Established,904,Pharmaceutical,Large
Local,905,Grocery,Large
Established,906,Grocery,Large
Established,907,Grocery,Large
Local,908,Grocery,Large
Established,909,Grocery,Large
Local,910,Grocery,Large
Established,911,Others,Medium
Local,912,Grocery,Large
Local,913,Grocery,Large
Established,914,Grocery,Large
Established,915,Grocery,Large
Established,916,Others,Large
Established,917,Grocery,Large
Established,918,Pharmaceutical,Large
Local,919,Grocery,Large
Local,920,Others,Large
Local,921,Grocery,Large
Established,922,Grocery,Large
Established,923,Grocery,Large
Established,924,Pharmaceutical,Large
Established,925,Grocery,Large
Established,926,Grocery,Large
Established,927,Others,Large
Established,928,Grocery,Large
Established,929,Grocery,Large
Local,930,Grocery,Large
Local,931,Others,Large
Established,932,Grocery,Small
Established,933,Grocery,Large
Established,934,Grocery,Large
Established,935,Grocery,Large
Local,936,Grocery,Large
Local,937,Grocery,Large
Established,938,Others,Large
Established,939,Others,Large
Established,940,Grocery,Large
Established,941,Grocery,Large
Established,942,Grocery,Large
Established,943,Pharmaceutical,Large
Local,944,Grocery,Large
Established,945,Others,Large
Established,946,Pharmaceutical,Large
Established,947,Grocery,Large
Established,948,Grocery,Large
Established,949,Grocery,Large
Established,950,Grocery,Large
Established,951,Pharmaceutical,Large
Established,952,Grocery,Large
Established,953,Grocery,Large
Established,954,Pharmaceutical,Large
Established,955,Grocery,Large
Established,956,Grocery,Large
Local,957,Grocery,Large
Established,958,Grocery,Large
Established,959,Grocery,Large
Established,960,Grocery,Large
Established,961,Grocery,Large
Established,962,Grocery,Large
Established,963,Pharmaceutical,Large
Established,964,Grocery,Large
Established,965,Grocery,Large
Established,966,Grocery,Large
Established,967,Grocery,Large
Established,968,Pharmaceutical,Small
Established,969,Grocery,Large
Established,970,Grocery,Large
Established,971,Grocery,Large
Local,972,Grocery,Large
Established,973,Grocery,Large
Established,974,Grocery,Large
Local,975,Others,Large
Established,976,Grocery,Large
Local,977,Others,Large
Local,978,Others,Large
Established,979,Grocery,Large
Established,980,Grocery,Large
Established,981,Grocery,Large
Local,982,Grocery,Large
Established,983,Grocery,Large
Established,984,Grocery,Large
Established,985,Pharmaceutical,Large
Established,986,Grocery,Large
Established,987,Others,Large
Established,988,Grocery,Large
Established,989,Grocery,Large
Established,990,Grocery,Large
Established,991,Pharmaceutical,Large
Established,992,Pharmaceutical,Large
Established,993,Pharmaceutical,Large
Established,994,Pharmaceutical,Large
Established,995,Grocery,Large
Established,996,Others,Large
Established,997,Grocery,Large
Established,998,Grocery,Large
Established,999,Grocery,Large
Established,1000,Grocery,Small
Established,1001,Grocery,Large
Established,1002,Grocery,Large
Established,1003,Grocery,Large
Established,1004,Grocery,Large
Established,1005,Pharmaceutical,Small
Established,1006,Grocery,Large
Established,1007,Pharmaceutical,Large
Local,1008,Others,Large
Established,1009,Grocery,Large
Established,1010,Pharmaceutical,Large
Established,1011,Others,Large
Local,1012,Others,Large
Established,1013,Grocery,Large
Established,1014,Grocery,Large
Established,1015,Grocery,Large
Established,1016,Grocery,Large
Established,1017,Grocery,Large
Established,1018,Grocery,Large
Local,1019,Grocery,Large
Local,1020,Others,Large
Established,1021,Grocery,Large
Established,1022,Grocery,Large
Established,1023,Others,Large
Established,1024,Grocery,Large
Established,1025,Grocery,Large
Local,1026,Grocery,Large
Established,1027,Others,Large
Established,1028,Grocery,Large
Established,1029,Grocery,Large
Local,1030,Others,Large
Local,1031,Grocery,Large
Established,1032,Grocery,Large
Established,1033,Grocery,Large
Established,1034,Grocery,Large
Established,1035,Grocery,Large
Established,1036,Grocery,Large
Established,1037,Pharmaceutical,Large
Established,1038,Grocery,Large
Established,1039,Grocery,Large
Established,1040,Grocery,Large
Established,1041,Grocery,Large
Local,1042,Grocery,Large
Established,1043,Others,Large
Established,1044,Grocery,Large
Established,1045,Grocery,Large
Established,1046,Pharmaceutical,Large
Established,1047,Grocery,Large
Established,1048,Grocery,Large
Established,1049,Grocery,Large
